Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,22,11,6403888,8.232128,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.858559,0.746932,0.111626,0.014589
0.755314,0.657331,0.097983,0.015810
0.752096,0.710784,0.041312,0.017118
0.729623,0.701829,0.027794,0.015024
0.705598,0.676438,0.029160,0.016410
0.705180,0.629638,0.075543,0.015208
0.714931,0.646562,0.068369,0.013911
0.701767,0.672094,0.029673,0.014982
0.704362,0.672417,0.031945,0.015703
0.785913,0.753436,0.032478,0.016677
0.724314,0.622411,0.101903,0.049140
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,22,5,5.051565,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.864093,0.658242,0.205851,0.015399
0.726238,0.664627,0.061610,0.015693
0.710048,0.627555,0.082492,0.015432
0.708367,0.683039,0.025329,0.014422
0.716554,0.671561,0.044992,0.016882
0.700391,0.677323,0.023068,0.015638
0.691463,0.670398,0.021065,0.015046
0.707948,0.682967,0.024981,0.014478
0.672396,0.645455,0.026941,0.013371
0.688810,0.666851,0.021959,0.015029
0.692342,0.619548,0.072794,0.040467
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,22,5,6.096287,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.863388,0.817271,0.046117,0.013931
0.753403,0.706926,0.046477,0.014370
0.704213,0.676179,0.028034,0.013599
0.712944,0.669229,0.043715,0.016163
0.714551,0.693567,0.020984,0.013711
0.713233,0.645806,0.067426,0.014837
0.712325,0.680872,0.031453,0.014463
0.704100,0.679281,0.024819,0.015524
0.714046,0.644310,0.069736,0.014184
0.719499,0.687200,0.032299,0.015403
0.729067,0.693725,0.035342,0.054896
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,22,5,6.168592,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.909502,0.770864,0.138638,0.040781
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,22,5,7.055350,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.964340,0.855809,0.079637,0.043794
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,22,5,9.134283,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
