Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,-415207424,5.387752,
Offline Times, Online Times
2.235303,0.063372
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,-862556160,7.449788,
Offline Times, Online Times
2.239951,0.066535
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,34325920,8.073461,
Offline Times, Online Times
2.185906,0.064742
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,484962304,9.341126,
Offline Times, Online Times
2.388715,0.063004
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,31081888,7.385087,
Offline Times, Online Times
2.213988,0.078458
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,21800352,5.133290,
Offline Times, Online Times
2.167854,0.073112
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,23126240,6.369881,
Offline Times, Online Times
2.134825,0.055683
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,38940896,4.649908,
Offline Times, Online Times
2.135422,0.068760
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,23246240,6.941405,
Offline Times, Online Times
2.167172,0.054855
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,1,24838368,6.240970,
Offline Times, Online Times
2.217314,0.064817
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,11,6412080,7.275823,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.201094,2.034049,0.167046,0.033852
2.034280,1.937745,0.096535,0.035859
1.930807,1.828144,0.102663,0.033006
1.934410,1.856902,0.077507,0.029860
1.923636,1.845801,0.077834,0.030412
1.952003,1.858672,0.093331,0.031227
1.938535,1.833701,0.104833,0.028888
1.936162,1.864533,0.071629,0.032305
1.933983,1.819256,0.114727,0.035685
1.967094,1.849038,0.118057,0.033698
1.950797,1.859553,0.091245,0.066256
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
13,0,7200,29752,21,11,6403888,7.094774,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.156621,2.015043,0.141578,0.024736
1.978503,1.906390,0.072113,0.025048
1.887555,1.802239,0.085317,0.023675
1.868928,1.717346,0.151582,0.023434
1.893851,1.824767,0.069084,0.025288
1.877163,1.727710,0.149453,0.025743
1.887338,1.810553,0.076785,0.023895
1.882902,1.810716,0.072187,0.024203
1.878410,1.803558,0.074851,0.023124
1.881767,1.803964,0.077803,0.023393
1.911129,1.816317,0.094812,0.060624
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,6.372941,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.125615,1.880862,0.244753,0.061487
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,6.053426,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.169813,2.054840,0.114973,0.063990
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,4.849667,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.200470,1.912295,0.288174,0.067753
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,6.921949,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.204038,2.000407,0.203631,0.060347
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,6.209977,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.179008,2.008309,0.170699,0.061975
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,6.062896,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.357674,1.935393,0.156994,0.064172
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,6.439221,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.380267,2.188161,0.159279,0.073292
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,5.819949,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.229849,1.991533,0.144706,0.064287
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,5.439036,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.218373,1.747697,0.141562,0.032187
2.002186,1.852946,0.136478,0.033937
1.927480,1.759522,0.135712,0.033015
1.916676,1.772103,0.133266,0.033391
1.915665,1.774406,0.132800,0.065005
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,7.049588,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.340174,2.114027,0.173285,0.035505
2.158036,1.965393,0.149577,0.041950
2.091677,1.929839,0.138134,0.041091
2.052051,1.885873,0.146940,0.032128
2.029468,1.846909,0.149469,0.069568
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
13,0,7200,29752,21,13,7.413376,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
2.157035,1.779531,0.142008,0.039601
1.977076,1.833223,0.128396,0.025627
1.894498,1.754698,0.129557,0.030617
