Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,11,18764288,1.070860,
Offline Times, Online Times
0.036181,0.002066
0.032649,0.002512
0.031542,0.001871
0.031571,0.002311
0.035365,0.002608
0.034453,0.002382
0.034748,0.002088
0.032814,0.001917
0.031592,0.002042
0.030696,0.001854
0.027643,0.004173
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-1165066240,1.959759,
Offline Times, Online Times
0.053095,0.006276
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-1287073792,0.983920,
Offline Times, Online Times
0.057150,0.007854
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-1041956864,0.960105,
Offline Times, Online Times
0.056121,0.006161
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-681930752,1.088196,
Offline Times, Online Times
0.053538,0.007863
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,697024512,1.927060,
Offline Times, Online Times
0.052585,0.004634
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-1388793856,1.021378,
Offline Times, Online Times
0.045253,0.008258
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-1495514177,2.395968,
Offline Times, Online Times
0.037418,0.002905
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,12,1,-1616946884,2.418236,
Offline Times, Online Times
0.037709,0.003941
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
3,0,7200,26680,12,2,1.979276,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.043537,0.029674,0.011845,0.002982
0.039325,0.024802,0.011649,0.002961
0.041949,0.027587,0.013090,0.003151
0.043726,0.026550,0.014768,0.003883
0.043435,0.029128,0.013133,0.006546
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
3,0,7200,26680,12,2,1.085537,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.047963,0.037264,0.010510,0.002489
0.036780,0.025826,0.010190,0.004394
0.035600,0.022115,0.012806,0.002648
0.045699,0.024827,0.012899,0.003520
0.041418,0.029062,0.011799,0.003643
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
3,0,7200,26680,12,2,0.085514,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.041401,0.026370,0.014890,0.008409
0.053728,0.028157,0.019946,0.005494
0.057345,0.038063,0.019045,0.007931
0.051386,0.030829,0.014935,0.003180
0.046601,0.031642,0.014636,0.005731
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
3,0,7200,26680,12,2,1.074548,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.050979,0.036399,0.013320,0.003161
0.042087,0.026874,0.012018,0.003168
0.042998,0.028888,0.012624,0.003092
0.040249,0.025278,0.011103,0.003138
0.043347,0.031887,0.011327,0.007667
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
3,0,7200,26680,12,2,1.983959,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.052141,0.039110,0.009707,0.002799
0.041558,0.027279,0.011945,0.002573
0.042925,0.028417,0.011505,0.002765
0.039207,0.026553,0.011159,0.003292
0.040280,0.024718,0.012833,0.004630
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameterIterations, Setup Time
3,0,7200,26680,12,2,1.095392,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.045977,0.031697,0.010961,0.003147
0.041338,0.024651,0.011451,0.004187
0.041368,0.028972,0.011770,0.002956
0.040817,0.029267,0.011138,0.002768
0.040830,0.027559,0.011860,0.005352
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,12,2,5,1.037147,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.035755,0.027294,0.008276,0.002776
0.035380,0.022998,0.009546,0.001883
0.032534,0.022735,0.008079,0.001958
0.031041,0.021805,0.008578,0.002008
0.031935,0.023123,0.007709,0.003836
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,12,2,1,0.974836,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.042872,0.024362,0.012163,0.006388
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,12,2,1,1.068150,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.042001,0.028844,0.011091,0.004278
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,12,2,1,0.980993,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.045132,0.033201,0.011410,0.005520
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,12,2,1,1.059796,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.039352,0.027195,0.010398,0.006266
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,12,2,1,1.025340,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.044470,0.032187,0.011899,0.005377
