Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,0,3,5,1.058038,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.052698,0.037385,0.014608,0.005138
0.050407,0.033908,0.015786,0.004958
0.050831,0.034551,0.013856,0.005653
0.051643,0.033316,0.016564,0.004436
0.050299,0.033662,0.016433,0.005212
Parties, Party, AND gates, XOR gates, Version, superseed length/ security parameter,Iterations, Setup Time
3,0,7200,26680,0,3,5,0.097107,
Offline Time, Preprocessing Independent, Preprocessing Dependent, Online Time
0.075543,0.047930,0.022160,0.009310
0.091747,0.065985,0.025314,0.008067
0.058435,0.037896,0.018869,0.005166
0.052742,0.035844,0.015410,0.003685
0.063010,0.040091,0.021192,0.006817
