Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,20,11,21574816,1.015756,
Offline Times, Online Times
0.053271,0.002624
0.046199,0.002725
0.045825,0.002521
0.046333,0.002652
0.046724,0.002782
0.047724,0.002894
0.048993,0.002654
0.046315,0.002743
0.046014,0.002335
0.044649,0.002784
0.046792,0.005753
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,20,11,33625248,1.086894,
Offline Times, Online Times
0.041762,0.003012
0.039759,0.002659
0.037319,0.002488
0.035195,0.002751
0.039860,0.002854
0.037187,0.002351
0.039772,0.002665
0.038621,0.002364
0.038822,0.002386
0.040185,0.003075
0.037524,0.005028
Parties, Party, AND gates, XOR gates, Version,Iterations, Setup Time
3,0,7200,26680,20,11,10913552,1.030361,
Offline Times, Online Times
0.044725,0.002673
0.038070,0.002889
0.038809,0.002414
0.038614,0.002592
0.038605,0.002277
0.038441,0.002967
0.038293,0.002630
0.037313,0.002802
0.035775,0.003001
0.040294,0.002265
0.038269,0.004748
